"date","year","month","day","9116001"
1992-01-01,1992,1,1,14.725
1992-02-01,1992,2,1,31.085
1992-03-01,1992,3,1,87.734
1992-04-01,1992,4,1,93.244
1992-05-01,1992,5,1,398.821
1992-06-01,1992,6,1,306.961
1992-07-01,1992,7,1,122.49
1992-08-01,1992,8,1,163.74
1992-09-01,1992,9,1,128.704
1992-10-01,1992,10,1,115.96
1992-11-01,1992,11,1,44.969
1992-12-01,1992,12,1,71.111
1993-01-01,1993,1,1,21.631
1993-02-01,1993,2,1,17.286
1993-03-01,1993,3,1,71.194
1993-04-01,1993,4,1,158.831
1993-05-01,1993,5,1,440.18
1993-06-01,1993,6,1,322.188
1993-07-01,1993,7,1,250.792
1993-08-01,1993,8,1,133.107
1993-09-01,1993,9,1,47.364
1993-10-01,1993,10,1,82.553
1993-11-01,1993,11,1,64.995
1993-12-01,1993,12,1,39.32
1994-01-01,1994,1,1,22.358
1994-02-01,1994,2,1,20.575
1994-03-01,1994,3,1,36.892
1994-04-01,1994,4,1,118.618
1994-05-01,1994,5,1,165.88
1994-06-01,1994,6,1,327.952
1994-07-01,1994,7,1,234.678
1994-08-01,1994,8,1,73.677
1994-09-01,1994,9,1,171.959
1994-10-01,1994,10,1,98.548
1994-11-01,1994,11,1,66.085
1994-12-01,1994,12,1,67.018
1995-01-01,1995,1,1,36.193
1995-02-01,1995,2,1,13.453
1995-03-01,1995,3,1,30.598
1995-04-01,1995,4,1,142.21
1995-05-01,1995,5,1,93.208
1995-06-01,1995,6,1,329.728
1995-07-01,1995,7,1,277.765
1995-08-01,1995,8,1,277.215
1995-09-01,1995,9,1,62.522
1995-10-01,1995,10,1,83.576
1995-11-01,1995,11,1,28.242
1995-12-01,1995,12,1,13.894
1996-01-01,1996,1,1,22.185
1996-02-01,1996,2,1,42.537
1996-03-01,1996,3,1,49.733
1996-04-01,1996,4,1,77.777
1996-05-01,1996,5,1,140.119
1996-06-01,1996,6,1,161.004
1996-07-01,1996,7,1,106.845
1996-08-01,1996,8,1,234.705
1996-09-01,1996,9,1,38.686
1996-10-01,1996,10,1,59.394
1996-11-01,1996,11,1,49.967
1996-12-01,1996,12,1,34.186
1997-01-01,1997,1,1,41.098
1997-02-01,1997,2,1,38.425
1997-03-01,1997,3,1,16.235
1997-04-01,1997,4,1,236.322
1997-05-01,1997,5,1,248.022
1997-06-01,1997,6,1,393.255
1997-07-01,1997,7,1,274.153
1997-08-01,1997,8,1,164.243
1997-09-01,1997,9,1,119.656
1997-10-01,1997,10,1,135.777
1997-11-01,1997,11,1,120.863
1997-12-01,1997,12,1,37.63
1998-01-01,1998,1,1,16.157
1998-02-01,1998,2,1,37.972
1998-03-01,1998,3,1,29.83
1998-04-01,1998,4,1,60.967
1998-05-01,1998,5,1,171.683
1998-06-01,1998,6,1,160.71
1998-07-01,1998,7,1,125.47
1998-08-01,1998,8,1,172.546
1998-09-01,1998,9,1,83.925
1998-10-01,1998,10,1,24.274
1998-11-01,1998,11,1,37.233
1998-12-01,1998,12,1,30.172
1999-01-01,1999,1,1,24.297
1999-02-01,1999,2,1,38.27
1999-03-01,1999,3,1,45.74
1999-04-01,1999,4,1,35.209
1999-05-01,1999,5,1,223.788
1999-06-01,1999,6,1,331.144
1999-07-01,1999,7,1,141.118
1999-08-01,1999,8,1,227.697
1999-09-01,1999,9,1,192.029
1999-10-01,1999,10,1,37.687
1999-11-01,1999,11,1,27.439
1999-12-01,1999,12,1,25.103
2000-01-01,2000,1,1,15.77
2000-02-01,2000,2,1,124.409
2000-03-01,2000,3,1,44.403
2000-04-01,2000,4,1,92.045
2000-05-01,2000,5,1,164.203
2000-06-01,2000,6,1,588.681
2000-07-01,2000,7,1,189.645
2000-08-01,2000,8,1,211.617
2000-09-01,2000,9,1,181.254
2000-10-01,2000,10,1,61.426
2000-11-01,2000,11,1,53.839
2000-12-01,2000,12,1,34.994
2001-01-01,2001,1,1,60.122
2001-02-01,2001,2,1,22.793
2001-03-01,2001,3,1,58.023
2001-04-01,2001,4,1,60.765
2001-05-01,2001,5,1,341.187
2001-06-01,2001,6,1,243.248
2001-07-01,2001,7,1,407.393
2001-08-01,2001,8,1,154.758
2001-09-01,2001,9,1,60.818
2001-10-01,2001,10,1,48.11
2001-11-01,2001,11,1,64.596
2001-12-01,2001,12,1,14.217
2002-01-01,2002,1,1,31.899
2002-02-01,2002,2,1,34.301
2002-03-01,2002,3,1,110.722
2002-04-01,2002,4,1,81.497
2002-05-01,2002,5,1,237.539
2002-06-01,2002,6,1,150.792
2002-07-01,2002,7,1,157.835
2002-08-01,2002,8,1,232.325
2002-09-01,2002,9,1,156.769
2002-10-01,2002,10,1,223.838
2002-11-01,2002,11,1,114.053
2002-12-01,2002,12,1,68.106
2003-01-01,2003,1,1,19.625
2003-02-01,2003,2,1,14.881
2003-03-01,2003,3,1,42.13
2003-04-01,2003,4,1,52.621
2003-05-01,2003,5,1,107.6
2003-06-01,2003,6,1,433.011
2003-07-01,2003,7,1,166.707
2003-08-01,2003,8,1,122.969
2003-09-01,2003,9,1,162.61
2003-10-01,2003,10,1,83.955
2003-11-01,2003,11,1,98.323
2003-12-01,2003,12,1,35.817
2004-01-01,2004,1,1,14.484
2004-02-01,2004,2,1,27.796
2004-03-01,2004,3,1,70.342
2004-04-01,2004,4,1,170.438
2004-05-01,2004,5,1,48.975
2004-06-01,2004,6,1,319.847
2004-07-01,2004,7,1,224.316
2004-08-01,2004,8,1,173.063
2004-09-01,2004,9,1,99.621
2004-10-01,2004,10,1,134.868
2004-11-01,2004,11,1,91.97
2004-12-01,2004,12,1,52.667
2005-01-01,2005,1,1,24.888
2005-02-01,2005,2,1,12.603
2005-03-01,2005,3,1,72.956
2005-04-01,2005,4,1,41.226
2005-05-01,2005,5,1,410.381
2005-06-01,2005,6,1,337.516
2005-07-01,2005,7,1,167.731
2005-08-01,2005,8,1,271.006
2005-09-01,2005,9,1,94.646
2005-10-01,2005,10,1,69.205
2005-11-01,2005,11,1,152.165
2005-12-01,2005,12,1,55.305
2006-01-01,2006,1,1,64.331
2006-02-01,2006,2,1,30.199
2006-03-01,2006,3,1,46.943
2006-04-01,2006,4,1,120.398
2006-05-01,2006,5,1,118.698
2006-06-01,2006,6,1,400.48
2006-07-01,2006,7,1,289.571
2006-08-01,2006,8,1,209.4
2006-09-01,2006,9,1,132.318
2006-10-01,2006,10,1,100.897
2006-11-01,2006,11,1,30.119
2006-12-01,2006,12,1,77.11
2007-01-01,2007,1,1,23.617
2007-02-01,2007,2,1,50.835
2007-03-01,2007,3,1,44.243
2007-04-01,2007,4,1,111.164
2007-05-01,2007,5,1,70.055
2007-06-01,2007,6,1,166.619
2007-07-01,2007,7,1,224.734
2007-08-01,2007,8,1,160.365
2007-09-01,2007,9,1,90.45
2007-10-01,2007,10,1,72.131
2007-11-01,2007,11,1,34.248
2007-12-01,2007,12,1,38
2008-01-01,2008,1,1,15.601
2008-02-01,2008,2,1,18.643
2008-03-01,2008,3,1,33.589
2008-04-01,2008,4,1,64.621
2008-05-01,2008,5,1,279.076
2008-06-01,2008,6,1,112.002
2008-07-01,2008,7,1,232.425
2008-08-01,2008,8,1,259.36
2008-09-01,2008,9,1,64.879
2008-10-01,2008,10,1,40.662
2008-11-01,2008,11,1,46.211
2008-12-01,2008,12,1,24.693
2009-01-01,2009,1,1,18.256
2009-02-01,2009,2,1,35.406
2009-03-01,2009,3,1,23.697
2009-04-01,2009,4,1,47.746
2009-05-01,2009,5,1,246.631
2009-06-01,2009,6,1,246.899
2009-07-01,2009,7,1,134.819
2009-08-01,2009,8,1,323.781
2009-09-01,2009,9,1,74.272
2009-10-01,2009,10,1,145.486
2009-11-01,2009,11,1,83.215
2009-12-01,2009,12,1,41.927
2010-01-01,2010,1,1,27.508
2010-02-01,2010,2,1,57.997
2010-03-01,2010,3,1,39.035
2010-04-01,2010,4,1,23.474
2010-05-01,2010,5,1,80.99
2010-06-01,2010,6,1,199.935
2010-07-01,2010,7,1,192.622
2010-08-01,2010,8,1,168.923
2010-09-01,2010,9,1,32.34
2010-10-01,2010,10,1,55.682
2010-11-01,2010,11,1,52.431
2010-12-01,2010,12,1,43.811
2011-01-01,2011,1,1,42.212
2011-02-01,2011,2,1,27.865
2011-03-01,2011,3,1,63.659
2011-04-01,2011,4,1,113.551
2011-05-01,2011,5,1,143.104
2011-06-01,2011,6,1,160.215
2011-07-01,2011,7,1,138.314
2011-08-01,2011,8,1,197.021
2011-09-01,2011,9,1,133.141
2011-10-01,2011,10,1,48.529
2011-11-01,2011,11,1,75.331
2011-12-01,2011,12,1,16.781
2012-01-01,2012,1,1,20.376
2012-02-01,2012,2,1,64.277
2012-03-01,2012,3,1,41.451
2012-04-01,2012,4,1,29.905
2012-05-01,2012,5,1,224.809
2012-06-01,2012,6,1,269.378
2012-07-01,2012,7,1,96.793
2012-08-01,2012,8,1,152.143
2012-09-01,2012,9,1,58.103
2012-10-01,2012,10,1,64.66
2012-11-01,2012,11,1,58.026
2012-12-01,2012,12,1,83.13
2013-01-01,2013,1,1,17.128
2013-02-01,2013,2,1,38.957
2013-03-01,2013,3,1,29.947
2013-04-01,2013,4,1,45.879
2013-05-01,2013,5,1,176.959
2013-06-01,2013,6,1,112.962
2013-07-01,2013,7,1,82.931
2013-08-01,2013,8,1,208.823
2013-09-01,2013,9,1,106.11
2013-10-01,2013,10,1,43.087
2013-11-01,2013,11,1,57.147
2013-12-01,2013,12,1,15.316
2014-01-01,2014,1,1,45.875
2014-02-01,2014,2,1,20.942
2014-03-01,2014,3,1,77.773
2014-04-01,2014,4,1,51.938
2014-05-01,2014,5,1,174.249
2014-06-01,2014,6,1,258.448
2014-07-01,2014,7,1,231.965
2014-08-01,2014,8,1,135.607
2014-09-01,2014,9,1,123.807
2014-10-01,2014,10,1,44.766
2014-11-01,2014,11,1,34.067
2014-12-01,2014,12,1,31.6
2015-01-01,2015,1,1,10.632
2015-02-01,2015,2,1,17.302
2015-03-01,2015,3,1,18.403
2015-04-01,2015,4,1,69.781
2015-05-01,2015,5,1,193.091
2015-06-01,2015,6,1,204.505
2015-07-01,2015,7,1,253.759
2015-08-01,2015,8,1,285.274
2015-09-01,2015,9,1,128.998
2015-10-01,2015,10,1,75.898
2015-11-01,2015,11,1,33.213
2015-12-01,2015,12,1,31.398
2016-01-01,2016,1,1,40.624
2016-02-01,2016,2,1,15.171
2016-03-01,2016,3,1,30.03
2016-04-01,2016,4,1,80.943
2016-05-01,2016,5,1,123.242
2016-06-01,2016,6,1,43.46
