"p_seasonality_chirps_1979_2010","-0.8739189","seasonality and timing of precipitation (CHIRPS) estimated using sine curves to represent the annual temperature and precipitation cycles; positive (negative) values indicate that precipitation peaks in summer (winter); values close to 0 indicate uniform precipitation throughout the year)"
"p_seasonality_mswep_1979_2010","-0.8765966","seasonality and timing of precipitation (MSWEP) estimated using sine curves to represent the annual temperature and precipitation cycles; positive (negative) values indicate that precipitation peaks in summer (winter); values close to 0 indicate uniform precipitation throughout the year)"
"p_seasonality_tmpa_1979_2010",NA,"seasonality and timing of precipitation (TMPA) estimated using sine curves to represent the annual temperature and precipitation cycles; positive (negative) values indicate that precipitation peaks in summer (winter); values close to 0 indicate uniform precipitation throughout the year)"
"frac_snow_cr2met_1979_2010","0","fraction of precipitation (CR2MET) falling as snow (i.e.; on days colder than 0 degrees C) period 1979-2010"
"frac_snow_chirps_1979_2010","0","fraction of precipitation (CHIRPS) falling as snow (i.e.; on days colder than 0 degrees C) period 1979-2010"
"frac_snow_mswep_1979_2010","4.412052e-07","fraction of precipitation (MSWEP) falling as snow (i.e.; on days colder than 0 degrees C) period 1979-2010"
"frac_snow_tmpa_1979_2010",NA,"fraction of precipitation (TMPA) falling as snow (i.e.; on days colder than 0 degrees C) period 1979-2010"
"high_prec_freq_cr2met_1979_2010","20.67696","frequency of high precipitation days (> 5 times mean daily precipitation) for product CR2MET"
"high_prec_freq_chirps_1979_2010","24.37963","frequency of high precipitation days (> 5 times mean daily precipitation) for product CHIRPS"
"high_prec_freq_mswep_1979_2010","23.32207","frequency of high precipitation days (> 5 times mean daily precipitation) for product MSWEP"
"high_prec_freq_tmpa_1979_2010",NA,"frequency of high precipitation days (> 5 times mean daily precipitation) for product TMPA"
"high_prec_dur_cr2met_1979_2010","1.35518","average duration of high precipitation events (number of consecutive days with precipitation > 5 times mean daily precipitation); for product CR2MET"
"high_prec_dur_chirps_1979_2010","1.289331","average duration of high precipitation events (number of consecutive days with precipitation > 5 times mean daily precipitation; for product CHIRPS"
"high_prec_dur_mswep_1979_2010","1.307414","average duration of high precipitation events (number of consecutive days with precipitation > 5 times mean daily precipitation); for product MSWEP"
"high_prec_dur_tmpa_1979_2010",NA,"average duration of high precipitation events (number of consecutive days with precipitation > 5 times mean daily precipitation); for product TMPA"
"low_prec_freq_cr2met_1979_2010","239.5108","frequency of dry days (< 1 mm/day) for product CR2MET"
"low_prec_freq_chirps_1979_2010","258.9097","frequency of dry days (< 1 mm/day) for product CHIRPS"
"low_prec_freq_mswep_1979_2010","243.7043","frequency of dry days (< 1 mm/day) for product MSWEP"
"low_prec_freq_tmpa_1979_2010",NA,"frequency of dry days (< 1 mm/day) for product TMPA"
"low_prec_dur_cr2met_1979_2010","5.659299","average duration of dry periods (number of consecutive days <1 mm/day) for product CR2MET"
"low_prec_dur_chirps_1979_2010","4.777287","average duration of dry periods (number of consecutive days <1 mm/day) for product CHIRPS"
"low_prec_dur_mswep_1979_2010","5.31294","average duration of dry periods (number of consecutive days <1 mm/day) for product MSWEP"
"low_prec_dur_tmpa_1979_2010",NA,"average duration of dry periods (number of consecutive days <1 mm/day) for product TMPA"
"p_mean_spread_1990_2010","0.04597555","coefficient of variation of basin-averaged mean annual precipitation from different products (standard deviation of p_mean_i from the four precipitation products; normalised by multi-product mean)"
"q_mean_1990_2010","2.189312","mean daily discharge period 1990-2010"
"q_mean_1979_2010","2.22055","mean daily discharge period 1979-2010"
"runoff_ratio_cr2met_1979_2010","0.6040125","runoff ratio (ratio of mean daily discharge to mean daily precipitation); for product CR2MET"
"runoff_ratio_chirps_1979_2010",NA,"runoff ratio (ratio of mean daily discharge to mean daily precipitation); for product CHIRPS"
"runoff_ratio_mswep_1979_2010","0.6152423","runoff ratio (ratio of mean daily discharge to mean daily precipitation); for product MSWEP"
"runoff_ratio_tmpa_1979_2010",NA,"runoff ratio (ratio of mean daily discharge to mean daily precipitation); for product TMPA"
"stream_elas_cr2met_1979_2010","1.543076","streamflow precipitation elasticity (sensitivity of streamflow to changes in precipitation at the annual timescale; using the mean daily discharge as reference and precipitation product CR2MET)"
"stream_elas_chirps_1979_2010",NA,"streamflow precipitation elasticity (sensitivity of streamflow to changes in precipitation at the annual timescale; using the mean daily discharge as reference and precipitation product CHIRPS"
"stream_elas_mswep_1979_2010","1.479407","streamflow precipitation elasticity (sensitivity of streamflow to changes in precipitation at the annual timescale; using the mean daily discharge as reference and precipitation product MSWEP"
"stream_elas_tmpa_1979_2010",NA,"streamflow precipitation elasticity (sensitivity of streamflow to changes in precipitation at the annual timescale; using the mean daily discharge as reference and precipitation product TMPA"
"slope_fdc_1979_2010","4.060389","slope of the flow duration curve; FDC (between the log- transformed 33rd and 66th streamflow percentiles)"
"baseflow_index_1979_2010","0.6237926","baseflow index (ratio of mean daily baseflow to mean daily discharge; hydrograph separation performed using the Ladson et al. (2013) digital filter with _ set to 0.925)"
"hfd_mean","126.15","mean half-flow date (date on which the cumulative discharge since 1 April reaches half of the annual discharge)"
"Q5_1979_2010","0.2721591","5 % flow quantile (low flows)"
"Q95_1979_2010","8.001306","95 % flow quantile (high flows)"
"high_q_freq_1979_2010","12.58474","frequency of high-flow days (> 9 times the median daily flow)"
"high_q_dur_1979_2010","5.30137","average duration of high-flow events (number of consecutive days >9 times the median daily flow)"
"low_q_freq_1979_2010","100.873","frequency of low-flow days (< 0.2 times the mean daily flow)"
"low_q_dur_1979_2010","27.94595","average duration of low-flow events (number of consecutive days <0.2 times the mean daily flow)"
"zero_q_freq_1979_2010","0","percentage of days with streamflow=0"
"sur_rights_flow_m3s","25.08963","annual flow calculated for consumptive permanent continuous surface water rights"
"gw_rights_flow_m3s","5.423803","annual flow calculated for consumptive permanent continuous groundwater water rights"
"IAI_Q","0.2573231","intervention degree defined as the annual flow of surface water rights (consumptive permanent continuous); normalised by mean annual streamflow."
"IAI_P","0.1556054","intervention degree defined as the annual flow of surface water rights (consumptive permanent continuous); normalised by mean annual precipitation"
"dam_index","0","0 if there is no dam within the catchment; 1 if there is at least one dam classified as large"
